index,var,beta_clock1,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
1,Intercept,1.431441164,,,,,,,,,,,
2,cg00249943,0.15278629,5,136274770,TRPC7,TRPC7,57113,conserved gene and region in mouse and human,TRPC7_Exon,"Exon (ENST00000513104.5/57113, exon 4 of 12)",13,56831383,Trpc7
3,cg00250826,0.002770105,7,128754670,CALU,CALU,813,conserved gene but different region in human and mouse,CALU_Exon,"Exon (ENST00000542996.6/813, exon 4 of 8)",6,29361701,Calu
4,cg00292639,-0.129891492,3,52393402,DNAH1,DNAH1,25981,conserved gene and region in mouse and human,DNAH1_Exon,"Exon (ENST00000420323.6/25981, exon 66 of 78)",14,31265961,Dnah1
5,cg00362836,0.04862963,17,12473058,LINC00670,LINC00670,284034,"mapped in human, not mapped in mouse",LINC00670_Intergenic_upstream,Distal Intergenic,11,65435676,Myocd
6,cg00411555,-0.031365579,17,44206588,UBTF,UBTF,7343,"mapped in human, not mapped in mouse",UBTF_threeUTR,3' UTR,11,102305986,Ubtf
7,cg00513357,0.091425998,11,10806046,EIF4G2,EIF4G2,1982,conserved gene and region in mouse and human,EIF4G2_Exon,"Exon (ENST00000526148.5/1982, exon 4 of 22)",7,111080321,Eif4g2
8,cg00587168,0.055298686,2,172093840,DLX1,DLX1,1745,mapped to different gene in human and mouse,DLX1_Intergenic_downstream,Distal Intergenic,2,71538098,Dlx1
9,cg00593462,0.437911032,13,110116146,COL4A1,COL4A1,1282,"mapped in human, not mapped in mouse",COL4A1_Intron,"Intron (ENST00000670698.1/ENST00000670698.1, intron 1 of 1)",,,
10,cg00687674,-0.140868637,15,69080920,EWSAT1,EWSAT1,283673,"mapped in human, not mapped in mouse",EWSAT1_Exon,"Exon (ENST00000558147.1/283673, exon 1 of 3)",,,
11,cg00694357,-0.808471134,1,155004171,ZBTB7B,ZBTB7B,51043,conserved gene but different region in human and mouse,ZBTB7B_Intron,"Intron (ENST00000417934.6/51043, intron 1 of 4)",3,89391821,Zbtb7b
12,cg00900456,-0.033398244,5,135031343,PITX1,PITX1,5307,conserved gene and region in mouse and human,PITX1_Exon,"Exon (ENST00000265340.12/5307, exon 2 of 3)",13,55828507,Pitx1
13,cg00954002,-0.122975242,16,78610201,WWOX,WWOX,51741,conserved gene and region in mouse and human,WWOX_Intron,"Intron (ENST00000569332.5/51741, intron 7 of 7)",8,114859068,Wwox
14,cg01009870,0.101085274,10,129869867,EBF3,EBF3,253738,conserved gene and region in mouse and human,EBF3_Intron,"Intron (ENST00000368648.7/253738, intron 8 of 15)",7,137227748,Ebf3
15,cg01019040,-0.004560905,7,104328968,LHFPL3,LHFPL3,375612,conserved gene and region in mouse and human,LHFPL3_Exon,Promoter (<=1kb),5,22746369,Lhfpl3
16,cg01059743,-0.206340851,2,73293656,EGR4,EGR4,1961,"mapped in human, not mapped in mouse",EGR4_fiveUTR,Promoter (<=1kb),6,85513697,Egr4
17,cg01136078,-0.001618486,1,41383526,FOXO6,EDN2,100132074,conserved gene but different region in human and mouse,FOXO6_Exon,"Exon (ENST00000372591.1/100132074, exon 2 of 2)",4,120267142,Foxo6
18,cg01153166,0.07213742,15,96331473,NR2F2,NR2F2,7026,conserved gene but different region in human and mouse,NR2F2_fiveUTR,5' UTR,7,70360972,Nr2f2
19,cg01169686,-0.036956214,1,170564460,GORAB,GORAB,92344,"mapped in human, not mapped in mouse",GORAB_Intergenic_downstream,Distal Intergenic,1,163378086,Gorab
20,cg01246498,0.05297066,12,113673544,LINC01234,LHX5,100506465,mapped to different gene in human and mouse,LINC01234_Intron,"Intron (ENST00000661760.1/100506465, intron 3 of 3)",5,120281565,Rbm19
21,cg01429475,0.172114471,10,101451718,BTRC,BTRC,8945,conserved gene but different region in human and mouse,BTRC_Intron,"Intron (ENST00000393441.8/8945, intron 2 of 13)",19,45446662,Btrc
22,cg01511232,0.037939655,4,154740777,LRAT,LRAT,9227,"mapped in human, not mapped in mouse",LRAT_Intron,"Intron (ENST00000502525.5/9227, intron 3 of 3)",,,
23,cg01656216,0.047490848,10,30984781,ZNF438,ZNF438,220929,"mapped in human, not mapped in mouse",ZNF438_Intron,"Intron (ENST00000413025.5/220929, intron 1 of 5)",,,
