index,var,beta_clock2,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
1,(Intercept),-1.911376417,,,,,,,,,,,
2,cg00020468,-0.002385015,10,60070043,ANK3,ANK3,288,"mapped in human, not mapped in mouse",ANK3_Exon,"Exon (ENST00000280772.7/288, exon 37 of 44)",10,69992409,Ank3
3,cg00096922,-0.009445006,7,97024873,DLX5,DLX5,1749,conserved gene but different region in human and mouse,DLX5_fiveUTR,Promoter (<=1kb),6,6882127,Dlx5
4,cg00098422,0.055805395,1,224389815,WDR26,WDR26,80232,conserved gene and region in mouse and human,WDR26_threeUTR,3' UTR,1,181177786,Wdr26
5,cg00106940,-0.059144902,3,181712691,SOX2-OT,SOX2-OT,347689,mapped to different gene in human and mouse,SOX2-OT_Exon,"Exon (ENST00000325404.3/6657, exon 1 of 1)",3,34650752,Sox2
6,cg00195533,-0.172659288,7,128832266,FLNC,FLNC,2318,conserved gene and region in mouse and human,FLNC_Intron,"Intron (ENST00000325888.12/2318, intron 1 of 47)",6,29435072,Flnc
7,cg00250826,0.007619397,7,128754670,CALU,CALU,813,conserved gene but different region in human and mouse,CALU_Exon,"Exon (ENST00000542996.6/813, exon 4 of 8)",6,29361701,Calu
8,cg00258262,0.053678899,1,90828767,LINC02609,BARHL2,105378853,mapped to different gene in human and mouse,LINC02609_Exon,"Exon (ENST00000658618.1/105378853, exon 2 of 2)",5,106554673,Gm17304
9,cg00314427,-0.078688839,19,45472862,ERCC1,ERCC1,2067,mapped to different gene in human and mouse,ERCC1_threeUTR,3' UTR,7,19304990,Fosb
10,cg00362836,0.059616586,17,12473058,LINC00670,LINC00670,284034,"mapped in human, not mapped in mouse",LINC00670_Intergenic_upstream,Distal Intergenic,11,65435676,Myocd
11,cg00384342,-0.065628925,7,96075137,DYNC1I1,DYNC1I1,1780,conserved gene and region in mouse and human,DYNC1I1_Intron,"Intron (ENST00000537881.5/1780, intron 14 of 16)",6,6005367,Dync1i1
12,cg00454305,-0.034853815,16,1379904,UNKL,UNKL,64718,"mapped in human, not mapped in mouse",UNKL_Intron,"Intron (ENST00000389221.8/64718, intron 10 of 14)",,,
13,cg00467357,-0.04281876,11,85978069,PICALM,PICALM,8301,conserved gene and region in mouse and human,PICALM_Exon,"Exon (ENST00000532317.5/8301, exon 17 of 20)",7,90194296,Picalm
14,cg00489428,0.259347448,17,28759267,FAM222B,FAM222B,55731,"mapped in human, not mapped in mouse",FAM222B_threeUTR,3' UTR,11,78154305,Fam222b
15,cg00568797,0.000704476,3,70960237,FOXP1,FOXP1,27086,mapped to different gene in human and mouse,FOXP1_Intron,"Intron (ENST00000318789.9/27086, intron 20 of 20)",6,98931015,Foxp1
16,cg00593462,0.102285886,13,110116146,COL4A1,COL4A1,1282,"mapped in human, not mapped in mouse",COL4A1_Intron,"Intron (ENST00000670698.1/ENST00000670698.1, intron 1 of 1)",,,
17,cg00643485,0.106150468,2,55303112,CCDC88A,CCDC88A,55704,conserved gene but different region in human and mouse,CCDC88A_threeUTR,3' UTR,11,29497382,Ccdc88a
18,cg00689383,-0.019021064,6,146399362,GRM1,GRM1,2911,"mapped in human, not mapped in mouse",GRM1_Exon,"Exon (ENST00000492807.6/2911, exon 8 of 10)",10,10719559,Grm1
